result_id,athlete_id,competition_name,competition_level,event,date,position,time_seconds,season_best,personal_best,qualification_status
CR000029,A0004,Botswana Nationals,National,400m,2022-02-03,8,63.37,False,False,Participation
CR000030,A0004,Kalahari Sprint Classic,Regional,400m,2022-03-30,3,67.0,False,True,Finalist
CR000031,A0004,Independence Meet,Local,400m,2022-08-22,7,63.91,False,False,Participation
CR000032,A0004,National Championships,National,1500m,2023-02-15,8,65.44,True,False,Qualified
CR000033,A0004,Kalahari Sprint Classic,Regional,400m,2023-07-18,4,65.05,True,False,Participation
CR000034,A0004,Paralympic Trials,National,400m,2023-09-29,3,63.79,False,False,Participation
CR000035,A0004,Independence Meet,Local,400m,2024-11-06,3,64.15,False,False,Finalist
CR000036,A0005,Paralympic Trials,National,800m,2020-06-21,3,15.07,False,True,Qualified
CR000037,A0005,Botswana Nationals,National,100m,2020-10-19,1,15.33,False,False,Participation
CR000038,A0005,Botswana Nationals,National,100m,2021-01-13,3,15.5,False,False,Participation
CR000039,A0005,Masa Cup,Local,100m,2023-12-23,8,15.64,False,False,Finalist
CR000040,A0005,Paralympic Trials,National,100m,2024-05-18,5,15.15,False,False,Qualified
CR000041,A0006,Independence Meet,Local,200m,2020-02-10,1,31.07,True,False,Finalist
CR000042,A0006,Independence Meet,Local,200m,2020-05-12,3,30.11,False,False,Participation
CR000043,A0006,Masa Cup,Local,200m,2022-05-24,3,32.13,False,False,Qualified
CR000044,A0006,Botswana Nationals,National,200m,2023-09-11,2,31.09,False,True,Qualified
CR000045,A0006,Botswana Nationals,National,200m,2024-06-02,3,30.8,False,False,Qualified
CR000046,A0006,Independence Meet,Local,1500m,2024-10-23,2,30.33,True,False,Participation
CR000047,A0006,Paralympic Trials,National,200m,2024-11-15,3,30.13,False,False,Qualified
CR000048,A0007,Botswana Nationals,National,200m,2020-06-25,1,26.68,False,False,Participation
CR000049,A0007,Paralympic Trials,National,200m,2021-01-31,2,26.55,False,False,Participation
CR000050,A0007,World Para Athletics GP,World,100m,2021-05-21,1,27.64,False,False,Qualified
CR000051,A0007,Continental Series,Continental,200m,2021-06-11,3,27.26,True,False,Finalist
CR000052,A0007,Southern Africa Games,Continental,200m,2022-02-01,2,27.06,False,False,Participation
CR000053,A0007,Botswana Nationals,National,200m,2022-09-02,2,28.1,True,False,Finalist
CR000054,A0007,Continental Series,Continental,200m,2022-10-12,2,28.21,True,False,Finalist
CR000055,A0007,Continental Series,Continental,200m,2023-03-08,3,27.88,False,False,Qualified
CR000056,A0007,Paralympic Trials,National,200m,2023-11-04,7,27.78,False,False,Participation
CR000057,A0007,World Para Athletics GP,World,200m,2023-12-29,7,27.26,False,False,Participation
CR000058,A0007,Continental Series,Continental,100m,2024-11-01,3,27.75,False,True,Qualified
CR000059,A0007,National Championships,National,200m,2024-11-27,1,27.07,False,False,Participation
CR000060,A0007,Continental Series,Continental,200m,2024-12-26,1,28.07,False,False,Finalist
CR000061,A0008,Masa Cup,Local,800m,2021-01-09,7,176.51,False,False,Qualified
CR000062,A0008,Regional Open,Regional,800m,2021-08-26,5,174.49,False,False,Qualified
CR000063,A0008,Regional Open,Regional,400m,2022-01-16,5,175.02,False,False,Qualified
CR000064,A0008,Regional Open,Regional,800m,2022-03-04,8,179.93,False,True,Participation
CR000065,A0008,Independence Meet,Local,800m,2022-10-28,4,181.68,False,False,Qualified
CR000066,A0008,Regional Open,Regional,400m,2023-04-26,4,178.5,False,False,Participation
CR000067,A0008,Kalahari Sprint Classic,Regional,800m,2024-03-18,4,177.37,False,False,Finalist
CR000068,A0008,Independence Meet,Local,800m,2024-09-16,6,181.4,True,False,Finalist
CR000069,A0009,National Championships,National,100m,2021-02-12,2,14.46,False,False,Participation
CR000070,A0009,Paralympic Trials,National,100m,2021-05-14,5,13.77,False,False,Finalist
CR000071,A0009,Kalahari Sprint Classic,Regional,1500m,2021-08-04,4,14.06,False,False,Qualified
CR000072,A0009,National Championships,National,100m,2022-03-09,4,14.66,False,False,Finalist
CR000073,A0009,Southern Africa Games,Continental,1500m,2023-01-16,2,14.23,False,False,Finalist
CR000074,A0009,National Championships,National,100m,2024-01-19,2,13.95,False,False,Participation
CR000075,A0009,Regional Open,Regional,100m,2024-08-08,5,14.68,False,False,Finalist
CR000076,A0010,Botswana Nationals,National,800m,2020-03-22,5,292.08,False,False,Qualified
CR000077,A0010,Botswana Nationals,National,1500m,2020-05-11,4,287.73,False,False,Participation
CR000078,A0010,Paralympic Trials,National,1500m,2020-07-12,1,284.17,False,False,Participation
CR000079,A0010,Southern Africa Games,Continental,1500m,2021-04-02,6,294.33,False,False,Finalist
CR000080,A0010,Continental Series,Continental,800m,2021-06-11,2,301.39,False,False,Participation
CR000081,A0010,Continental Series,Continental,800m,2021-09-15,2,285.69,False,False,Qualified
CR000082,A0010,Southern Africa Games,Continental,1500m,2021-11-17,2,300.6,False,False,Finalist
CR000083,A0010,Botswana Nationals,National,1500m,2022-05-31,5,299.63,False,False,Finalist
CR000084,A0010,Botswana Nationals,National,800m,2022-07-05,2,285.18,False,False,Participation
CR000085,A0010,National Championships,National,1500m,2023-01-07,1,288.84,False,False,Qualified
CR000086,A0011,Masa Cup,Local,100m,2020-02-11,4,15.48,False,False,Participation
CR000087,A0011,Botswana Nationals,National,100m,2020-07-03,1,16.34,False,False,Qualified
CR000088,A0011,Masa Cup,Local,100m,2020-11-14,4,16.15,False,False,Finalist
CR000089,A0011,Paralympic Trials,National,100m,2021-05-18,3,15.73,True,False,Participation
CR000090,A0011,Independence Meet,Local,100m,2022-06-30,1,15.99,False,False,Participation
CR000091,A0011,Botswana Nationals,National,100m,2023-08-17,4,15.58,True,False,Participation
CR000092,A0012,Kalahari Sprint Classic,Regional,1500m,2020-09-26,2,32.15,False,False,Qualified
CR000093,A0012,Paralympic Trials,National,200m,2022-03-15,4,31.05,True,False,Qualified
CR000094,A0012,Independence Meet,Local,200m,2022-11-10,5,30.41,False,False,Participation
CR000095,A0012,National Championships,National,200m,2023-02-02,2,31.16,False,False,Participation
CR000096,A0012,Independence Meet,Local,200m,2023-08-09,4,32.35,False,True,Participation
CR000097,A0012,Kalahari Sprint Classic,Regional,200m,2023-08-21,1,30.21,False,False,Qualified
CR000098,A0013,World Para Athletics GP,World,100m,2020-08-26,2,13.72,False,False,Qualified
CR000099,A0013,Continental Series,Continental,100m,2021-11-28,1,13.44,False,False,Qualified
CR000100,A0013,National Championships,National,100m,2021-12-23,3,13.38,False,False,Qualified
CR000101,A0013,Southern Africa Games,Continental,200m,2022-09-26,2,13.04,False,False,Finalist
CR000102,A0013,National Championships,National,100m,2023-12-22,2,13.96,True,False,Finalist
CR000103,A0013,Southern Africa Games,Continental,200m,2024-01-14,4,13.7,False,False,Qualified
CR000104,A0013,Paralympic Trials,National,200m,2024-02-08,5,13.89,False,False,Finalist
CR000105,A0013,Botswana Nationals,National,100m,2024-02-21,3,13.43,False,False,Participation
CR000106,A0013,Southern Africa Games,Continental,100m,2024-06-12,1,13.97,False,False,Qualified
CR000107,A0013,Paralympic Trials,National,100m,2024-12-24,6,13.72,False,False,Finalist
CR000108,A0014,Paralympic Trials,National,200m,2021-04-28,7,29.51,False,True,Finalist
CR000109,A0014,Continental Series,Continental,200m,2021-10-21,3,28.95,True,False,Participation
CR000110,A0014,Continental Series,Continental,100m,2022-05-27,1,28.49,True,False,Qualified
CR000111,A0014,Southern Africa Games,Continental,200m,2022-09-04,5,29.0,False,False,Finalist
CR000112,A0014,Botswana Nationals,National,200m,2022-09-04,1,29.77,False,False,Finalist
CR000113,A0014,Regional Open,Regional,200m,2023-08-10,5,30.02,False,False,Participation
CR000114,A0014,Continental Series,Continental,200m,2023-11-07,3,29.75,False,False,Participation
CR000115,A0014,Kalahari Sprint Classic,Regional,200m,2023-11-24,3,29.93,False,False,Participation
CR000116,A0014,National Championships,National,100m,2024-07-17,3,28.84,False,False,Participation
CR000117,A0015,Kalahari Sprint Classic,Regional,400m,2020-05-20,4,69.31,False,False,Qualified
CR000118,A0015,Kalahari Sprint Classic,Regional,400m,2020-09-09,2,73.21,False,False,Finalist
CR000119,A0015,Kalahari Sprint Classic,Regional,400m,2020-09-27,6,68.55,False,False,Finalist
CR000120,A0015,Independence Meet,Local,400m,2020-10-26,7,69.72,False,False,Qualified
CR000121,A0015,Regional Open,Regional,400m,2021-02-01,4,72.91,False,False,Participation
CR000122,A0015,Independence Meet,Local,400m,2021-03-09,3,71.55,False,False,Participation
CR000123,A0015,Regional Open,Regional,400m,2024-07-07,3,68.92,False,False,Participation
CR000124,A0015,Masa Cup,Local,400m,2024-09-18,4,70.09,False,False,Finalist
CR000125,A0016,Kalahari Sprint Classic,Regional,400m,2020-04-13,5,157.52,True,False,Participation
CR000126,A0016,Kalahari Sprint Classic,Regional,800m,2020-06-10,4,156.76,False,False,Participation
CR000127,A0016,National Championships,National,400m,2021-03-09,6,152.08,True,False,Finalist
CR000128,A0016,Southern Africa Games,Continental,800m,2023-06-27,1,151.28,False,False,Participation
CR000129,A0016,Botswana Nationals,National,400m,2023-08-11,2,153.45,True,False,Participation
CR000130,A0016,Paralympic Trials,National,800m,2023-09-28,1,153.42,True,False,Participation
CR000131,A0016,Botswana Nationals,National,400m,2023-10-16,7,156.64,False,False,Finalist
CR000132,A0016,Southern Africa Games,Continental,400m,2024-12-11,1,156.07,False,False,Finalist
CR000133,A0017,Paralympic Trials,National,100m,2021-07-06,3,15.25,False,False,Finalist
CR000134,A0017,Paralympic Trials,National,100m,2022-02-04,1,14.59,False,False,Participation
CR000135,A0017,National Championships,National,100m,2022-07-03,5,15.36,False,False,Finalist
CR000136,A0017,Botswana Nationals,National,100m,2023-02-08,4,14.95,False,False,Qualified
CR000137,A0017,Regional Open,Regional,100m,2024-01-30,7,15.44,False,False,Finalist
CR000138,A0017,Botswana Nationals,National,1500m,2024-03-30,2,15.01,False,False,Finalist
CR000139,A0017,Kalahari Sprint Classic,Regional,100m,2024-06-09,4,14.67,False,False,Qualified
CR000140,A0017,Kalahari Sprint Classic,Regional,100m,2024-12-31,6,15.1,False,False,Qualified
CR000141,A0018,Paralympic Trials,National,400m,2021-02-02,1,58.8,False,False,Qualified
CR000142,A0018,Continental Series,Continental,400m,2022-02-06,5,60.5,False,False,Participation
CR000143,A0018,Southern Africa Games,Continental,400m,2022-04-10,1,59.04,True,False,Finalist
CR000144,A0018,Continental Series,Continental,400m,2022-11-27,2,57.98,False,False,Qualified
CR000145,A0018,National Championships,National,800m,2022-12-06,3,59.7,False,False,Finalist
CR000146,A0018,Continental Series,Continental,400m,2023-02-19,1,60.09,False,False,Participation
CR000147,A0018,World Para Athletics GP,World,400m,2023-10-23,2,58.08,False,False,Participation
CR000148,A0018,National Championships,National,800m,2023-12-30,2,61.36,False,False,Qualified
CR000149,A0018,Southern Africa Games,Continental,400m,2024-11-10,2,57.58,False,False,Finalist
CR000150,A0018,Southern Africa Games,Continental,400m,2024-12-17,1,61.14,False,False,Qualified
CR000151,A0019,Paralympic Trials,National,100m,2020-09-27,6,314.44,False,False,Participation
CR000152,A0019,Kalahari Sprint Classic,Regional,1500m,2022-02-12,7,302.06,False,False,Participation
CR000153,A0019,Kalahari Sprint Classic,Regional,100m,2022-07-04,2,312.19,False,False,Participation
CR000154,A0019,Kalahari Sprint Classic,Regional,1500m,2023-04-26,6,305.52,False,False,Finalist
CR000155,A0019,Masa Cup,Local,1500m,2023-05-11,3,316.79,False,False,Participation
CR000156,A0019,Botswana Nationals,National,100m,2023-05-22,3,316.84,False,False,Participation
CR000157,A0019,Kalahari Sprint Classic,Regional,1500m,2023-10-21,3,310.37,True,False,Finalist
CR000158,A0019,Regional Open,Regional,100m,2023-10-28,7,298.51,False,False,Participation
CR000159,A0019,Botswana Nationals,National,1500m,2023-12-14,7,318.89,False,False,Qualified
CR000160,A0020,National Championships,National,200m,2020-02-21,4,31.34,True,False,Finalist
CR000161,A0020,Paralympic Trials,National,200m,2021-01-31,2,31.42,False,False,Participation
CR000162,A0020,National Championships,National,200m,2021-04-23,3,30.65,False,False,Qualified
CR000163,A0020,Botswana Nationals,National,1500m,2021-06-20,5,32.48,False,False,Participation
CR000164,A0020,Kalahari Sprint Classic,Regional,200m,2022-02-07,5,32.66,False,False,Participation
CR000165,A0020,Regional Open,Regional,200m,2022-04-24,3,30.84,False,True,Participation
CR000166,A0020,Independence Meet,Local,200m,2023-01-20,1,32.22,False,False,Participation
CR000167,A0020,National Championships,National,200m,2023-09-08,2,31.28,False,False,Participation
CR000168,A0020,Independence Meet,Local,200m,2024-05-02,6,31.01,False,False,Finalist
CR000169,A0021,Independence Meet,Local,1500m,2020-01-19,6,14.33,False,False,Qualified
CR000170,A0021,Regional Open,Regional,100m,2020-12-20,1,14.37,False,False,Finalist
CR000171,A0021,Botswana Nationals,National,100m,2022-02-10,6,14.23,False,False,Finalist
CR000172,A0021,National Championships,National,1500m,2022-12-09,3,15.17,False,False,Participation
CR000173,A0021,Masa Cup,Local,100m,2023-04-21,4,14.44,False,False,Participation
CR000174,A0021,Independence Meet,Local,1500m,2024-07-13,2,15.04,False,False,Qualified
CR000175,A0022,Kalahari Sprint Classic,Regional,800m,2021-06-02,2,175.31,True,False,Participation
CR000176,A0022,Masa Cup,Local,800m,2021-08-18,7,168.17,False,False,Finalist
CR000177,A0022,Independence Meet,Local,800m,2021-09-20,8,176.54,True,False,Qualified
CR000178,A0022,Regional Open,Regional,800m,2023-03-20,8,174.64,False,False,Participation
CR000179,A0022,Kalahari Sprint Classic,Regional,800m,2023-08-04,6,174.55,False,False,Participation
CR000180,A0022,Regional Open,Regional,800m,2023-11-27,2,167.59,False,False,Participation
CR000181,A0023,Botswana Nationals,National,200m,2020-06-18,2,29.96,True,False,Participation
CR000182,A0023,Independence Meet,Local,1500m,2022-01-26,2,30.05,False,False,Finalist
CR000183,A0023,Kalahari Sprint Classic,Regional,200m,2022-10-01,2,30.0,True,False,Finalist
CR000184,A0023,Kalahari Sprint Classic,Regional,200m,2022-12-14,2,30.91,False,False,Qualified
CR000185,A0023,Botswana Nationals,National,1500m,2023-10-26,6,31.59,False,False,Participation
CR000186,A0024,Southern Africa Games,Continental,800m,2020-12-31,3,150.13,False,False,Participation
CR000187,A0024,National Championships,National,800m,2021-09-11,4,145.19,True,False,Participation
CR000188,A0024,Continental Series,Continental,100m,2021-09-27,1,148.9,False,False,Qualified
CR000189,A0024,Continental Series,Continental,800m,2021-10-03,7,150.18,False,False,Qualified
CR000190,A0024,Regional Open,Regional,800m,2021-11-20,2,149.69,False,False,Participation
CR000191,A0024,Paralympic Trials,National,100m,2022-05-23,5,144.78,True,False,Participation
CR000192,A0024,Continental Series,Continental,800m,2022-07-01,1,151.7,True,False,Participation
CR000193,A0024,Continental Series,Continental,800m,2022-10-09,7,149.29,False,False,Finalist
CR000194,A0024,Kalahari Sprint Classic,Regional,800m,2023-07-29,1,151.69,False,False,Participation
CR000195,A0024,Continental Series,Continental,800m,2024-01-14,3,147.64,False,False,Participation
CR000196,A0024,National Championships,National,800m,2024-08-26,3,149.85,True,False,Qualified
CR000197,A0025,Regional Open,Regional,1500m,2020-02-07,2,64.37,False,False,Participation
CR000198,A0025,Botswana Nationals,National,400m,2020-07-14,1,63.02,True,False,Finalist
CR000199,A0025,National Championships,National,400m,2021-11-14,1,64.68,False,True,Participation
CR000200,A0025,Kalahari Sprint Classic,Regional,400m,2023-06-27,1,62.08,False,False,Participation
CR000201,A0025,Continental Series,Continental,400m,2023-11-17,6,63.8,False,False,Participation
CR000202,A0025,Southern Africa Games,Continental,1500m,2024-10-14,2,61.24,True,True,Participation
CR000203,A0025,National Championships,National,1500m,2024-10-19,1,61.28,False,False,Participation
CR000204,A0025,Regional Open,Regional,400m,2024-12-20,7,64.47,False,False,Participation
CR000205,A0026,Botswana Nationals,National,400m,2020-03-18,2,62.68,False,False,Participation
CR000206,A0026,National Championships,National,100m,2021-06-07,2,64.25,False,False,Participation
CR000207,A0026,Masa Cup,Local,100m,2021-10-19,2,62.06,False,False,Qualified
CR000208,A0026,Regional Open,Regional,100m,2023-05-15,1,64.21,True,False,Participation
CR000209,A0026,Independence Meet,Local,400m,2024-03-16,5,62.94,True,False,Participation
CR000210,A0027,Paralympic Trials,National,800m,2020-02-14,5,13.48,False,False,Participation
CR000211,A0027,Botswana Nationals,National,100m,2020-09-05,3,13.68,False,False,Participation
CR000212,A0027,National Championships,National,100m,2020-12-17,3,12.9,False,False,Finalist
CR000213,A0027,Southern Africa Games,Continental,100m,2020-12-31,4,13.01,True,True,Participation
CR000214,A0027,National Championships,National,100m,2021-07-16,2,13.36,False,False,Participation
CR000215,A0027,Paralympic Trials,National,100m,2022-07-11,1,13.14,False,False,Qualified
CR000216,A0027,Continental Series,Continental,100m,2023-01-01,3,13.55,False,False,Finalist
CR000217,A0027,National Championships,National,100m,2023-05-06,1,13.05,False,False,Finalist
CR000218,A0027,Paralympic Trials,National,100m,2024-07-07,1,13.29,False,False,Qualified
CR000219,A0027,Continental Series,Continental,100m,2024-07-08,3,13.1,True,False,Qualified
CR000220,A0027,World Para Athletics GP,World,100m,2024-12-23,5,13.34,False,False,Participation
CR000221,A0027,Continental Series,Continental,100m,2024-12-23,2,13.41,False,False,Participation
CR000222,A0028,National Championships,National,200m,2020-02-15,3,29.57,True,False,Qualified
CR000223,A0028,Kalahari Sprint Classic,Regional,400m,2020-12-19,3,31.1,False,False,Participation
CR000224,A0028,Independence Meet,Local,200m,2021-04-20,8,30.37,False,False,Participation
CR000225,A0028,National Championships,National,200m,2021-07-27,6,30.65,True,False,Finalist
CR000226,A0028,Paralympic Trials,National,200m,2021-09-07,4,30.69,False,False,Finalist
CR000227,A0028,Masa Cup,Local,400m,2022-08-03,1,30.49,True,False,Finalist
CR000228,A0028,Masa Cup,Local,200m,2022-09-09,1,29.2,False,False,Qualified
CR000229,A0028,Kalahari Sprint Classic,Regional,200m,2022-12-08,2,30.35,False,False,Qualified
CR000230,A0028,Regional Open,Regional,200m,2023-11-02,3,31.14,False,False,Finalist
CR000231,A0029,Regional Open,Regional,200m,2021-06-24,3,32.52,False,False,Participation
CR000232,A0029,Independence Meet,Local,400m,2022-05-04,2,31.46,False,True,Participation
CR000233,A0029,Masa Cup,Local,200m,2022-05-29,4,31.53,False,True,Participation
CR000234,A0029,Independence Meet,Local,200m,2023-05-10,5,33.24,False,False,Participation
CR000235,A0029,Kalahari Sprint Classic,Regional,400m,2023-08-24,8,32.34,False,False,Qualified
CR000236,A0030,Botswana Nationals,National,400m,2020-12-03,6,59.82,False,False,Participation
CR000237,A0030,Southern Africa Games,Continental,1500m,2021-05-19,5,60.83,False,False,Participation
CR000238,A0030,National Championships,National,400m,2021-10-29,5,58.95,False,False,Participation
CR000239,A0030,Southern Africa Games,Continental,400m,2022-02-17,1,60.16,False,True,Finalist
CR000240,A0030,Regional Open,Regional,400m,2022-04-17,7,61.03,False,False,Participation
CR000241,A0030,Regional Open,Regional,400m,2022-10-27,2,58.63,False,False,Participation
CR000242,A0030,Kalahari Sprint Classic,Regional,1500m,2023-02-04,6,58.44,False,False,Participation
CR000243,A0030,Regional Open,Regional,1500m,2023-10-03,2,57.72,False,False,Qualified
CR000244,A0030,Continental Series,Continental,400m,2024-02-13,3,61.02,False,False,Finalist
CR000245,A0030,Botswana Nationals,National,400m,2024-07-04,1,57.62,False,False,Finalist
CR000246,A0031,Masa Cup,Local,100m,2022-05-22,4,16.48,False,False,Finalist
CR000247,A0031,Regional Open,Regional,100m,2022-11-03,5,16.02,False,False,Participation
CR000248,A0031,Independence Meet,Local,100m,2023-03-15,2,16.12,False,False,Participation
CR000249,A0031,Regional Open,Regional,100m,2024-06-04,6,16.65,False,False,Participation
CR000250,A0032,National Championships,National,200m,2020-05-11,4,155.86,False,False,Participation
CR000251,A0032,Masa Cup,Local,200m,2020-08-06,3,160.54,False,False,Qualified
CR000252,A0032,National Championships,National,800m,2020-10-08,3,159.07,False,False,Participation
CR000253,A0032,Botswana Nationals,National,800m,2021-09-02,6,151.08,False,False,Participation
CR000254,A0032,Regional Open,Regional,800m,2022-08-15,3,154.85,False,False,Participation
CR000255,A0032,Regional Open,Regional,800m,2022-08-25,2,157.95,False,False,Participation
CR000256,A0032,Kalahari Sprint Classic,Regional,800m,2023-03-12,6,150.42,False,False,Finalist
CR000257,A0032,Kalahari Sprint Classic,Regional,800m,2023-12-13,2,150.67,False,False,Finalist
CR000258,A0033,Paralympic Trials,National,100m,2020-05-25,7,15.57,True,False,Finalist
CR000259,A0033,Masa Cup,Local,100m,2021-02-27,2,14.89,False,False,Qualified
CR000260,A0033,Independence Meet,Local,100m,2022-09-08,4,14.9,False,False,Participation
CR000261,A0033,Masa Cup,Local,100m,2023-04-14,1,15.57,False,True,Qualified
CR000262,A0033,Kalahari Sprint Classic,Regional,100m,2023-05-28,3,15.7,True,False,Finalist
CR000263,A0033,Paralympic Trials,National,100m,2023-10-25,6,15.38,False,False,Participation
CR000264,A0033,Regional Open,Regional,100m,2024-09-06,3,15.57,True,False,Participation
CR000265,A0034,Kalahari Sprint Classic,Regional,100m,2022-02-22,5,17.28,False,False,Participation
CR000266,A0034,Kalahari Sprint Classic,Regional,100m,2022-04-13,3,17.17,True,False,Participation
CR000267,A0034,Masa Cup,Local,100m,2024-03-23,6,16.6,False,False,Participation
CR000268,A0034,Masa Cup,Local,100m,2024-09-19,4,17.09,False,False,Finalist
CR000269,A0035,Kalahari Sprint Classic,Regional,800m,2021-02-19,2,170.14,False,False,Participation
CR000270,A0035,Independence Meet,Local,800m,2021-05-08,5,167.41,False,False,Finalist
CR000271,A0035,Kalahari Sprint Classic,Regional,800m,2021-11-19,2,162.67,False,True,Qualified
CR000272,A0035,Regional Open,Regional,400m,2022-01-13,3,161.59,True,False,Qualified
CR000273,A0035,Kalahari Sprint Classic,Regional,800m,2023-07-06,5,163.01,False,False,Participation
CR000274,A0036,Regional Open,Regional,400m,2020-01-22,3,66.11,False,True,Finalist
CR000275,A0036,Paralympic Trials,National,400m,2020-03-23,3,67.78,False,False,Finalist
CR000276,A0036,Independence Meet,Local,400m,2020-09-09,7,66.53,False,False,Finalist
CR000277,A0036,Paralympic Trials,National,400m,2021-03-05,2,66.83,False,False,Participation
CR000278,A0036,Botswana Nationals,National,1500m,2021-07-04,4,67.48,False,False,Finalist
CR000279,A0036,Masa Cup,Local,400m,2022-10-19,6,66.55,False,False,Participation
CR000280,A0036,Botswana Nationals,National,400m,2023-05-12,4,66.87,False,False,Participation
CR000281,A0036,Paralympic Trials,National,400m,2024-10-07,4,64.82,False,False,Finalist
CR000282,A0036,Regional Open,Regional,400m,2024-12-02,6,67.96,False,False,Qualified
CR000283,A0037,Regional Open,Regional,200m,2020-09-21,2,31.14,False,True,Participation
CR000284,A0037,Continental Series,Continental,100m,2021-10-18,1,30.03,True,False,Participation
CR000285,A0037,National Championships,National,100m,2022-03-22,7,30.45,False,False,Finalist
CR000286,A0037,Southern Africa Games,Continental,200m,2022-05-13,1,29.19,False,False,Qualified
CR000287,A0037,Botswana Nationals,National,200m,2022-05-31,6,29.07,False,False,Participation
CR000288,A0037,Kalahari Sprint Classic,Regional,200m,2022-08-24,3,29.34,False,False,Participation
CR000289,A0037,Regional Open,Regional,200m,2023-07-22,1,30.31,True,False,Participation
CR000290,A0038,National Championships,National,400m,2020-12-12,5,69.11,False,False,Participation
CR000291,A0038,National Championships,National,400m,2021-01-24,6,66.05,False,False,Qualified
CR000292,A0038,Kalahari Sprint Classic,Regional,400m,2022-02-01,4,70.09,False,False,Qualified
CR000293,A0038,Masa Cup,Local,400m,2023-12-27,7,65.91,False,False,Participation
CR000294,A0038,Regional Open,Regional,400m,2024-01-15,4,67.3,False,False,Qualified
CR000295,A0039,Regional Open,Regional,800m,2020-02-26,2,161.17,True,False,Finalist
CR000296,A0039,Independence Meet,Local,800m,2020-07-17,6,165.01,False,False,Participation
CR000297,A0039,Independence Meet,Local,200m,2022-01-29,1,160.01,False,False,Finalist
CR000298,A0039,Botswana Nationals,National,800m,2022-02-08,4,162.89,False,True,Qualified
CR000299,A0039,Kalahari Sprint Classic,Regional,800m,2022-08-29,4,157.26,True,False,Participation
CR000300,A0039,Regional Open,Regional,800m,2023-11-04,2,158.04,False,False,Participation
CR000301,A0039,Regional Open,Regional,200m,2024-01-06,5,163.82,False,False,Participation
CR000302,A0040,Botswana Nationals,National,100m,2020-02-10,1,13.79,False,False,Participation
CR000303,A0040,Southern Africa Games,Continental,100m,2020-03-26,2,14.53,True,False,Finalist
CR000304,A0040,Continental Series,Continental,100m,2020-04-21,5,14.2,False,False,Finalist
CR000305,A0040,Regional Open,Regional,100m,2020-07-05,6,14.58,False,False,Finalist
CR000306,A0040,Kalahari Sprint Classic,Regional,100m,2020-12-30,2,14.25,False,True,Finalist
CR000307,A0040,Regional Open,Regional,100m,2021-09-20,1,14.04,False,True,Participation
CR000308,A0040,National Championships,National,100m,2022-10-01,4,13.91,False,False,Participation
CR000309,A0040,Regional Open,Regional,100m,2022-10-27,7,13.77,False,False,Qualified
CR000310,A0040,Botswana Nationals,National,100m,2023-03-29,2,14.59,False,False,Finalist
