medal_id,athlete_id,competition_name,event,medal_type,competition_level,year
M000036,A0007,Continental Series,200m,Gold,Continental,2024
M000037,A0009,National Championships,100m,Silver,National,2021
M000038,A0009,Southern Africa Games,1500m,Silver,Continental,2023
M000039,A0009,National Championships,100m,Silver,National,2024
M000040,A0010,Paralympic Trials,1500m,Gold,National,2020
M000041,A0010,Continental Series,800m,Silver,Continental,2021
M000042,A0010,Continental Series,800m,Silver,Continental,2021
M000043,A0010,Southern Africa Games,1500m,Silver,Continental,2021
M000044,A0010,Botswana Nationals,800m,Silver,National,2022
M000045,A0010,National Championships,1500m,Gold,National,2023
M000046,A0011,Botswana Nationals,100m,Gold,National,2020
M000047,A0011,Paralympic Trials,100m,Bronze,National,2021
M000048,A0011,Independence Meet,100m,Gold,Local,2022
M000049,A0012,Kalahari Sprint Classic,1500m,Silver,Regional,2020
M000050,A0012,National Championships,200m,Silver,National,2023
M000051,A0012,Kalahari Sprint Classic,200m,Gold,Regional,2023
M000052,A0013,World Para Athletics GP,100m,Silver,World,2020
M000053,A0013,Continental Series,100m,Gold,Continental,2021
M000054,A0013,National Championships,100m,Bronze,National,2021
M000055,A0013,Southern Africa Games,200m,Silver,Continental,2022
M000056,A0013,National Championships,100m,Silver,National,2023
M000057,A0013,Botswana Nationals,100m,Bronze,National,2024
M000058,A0013,Southern Africa Games,100m,Gold,Continental,2024
M000059,A0014,Continental Series,200m,Bronze,Continental,2021
M000060,A0014,Continental Series,100m,Gold,Continental,2022
M000061,A0014,Botswana Nationals,200m,Gold,National,2022
M000062,A0014,Continental Series,200m,Bronze,Continental,2023
M000063,A0014,Kalahari Sprint Classic,200m,Bronze,Regional,2023
M000064,A0014,National Championships,100m,Bronze,National,2024
M000065,A0015,Kalahari Sprint Classic,400m,Silver,Regional,2020
M000066,A0015,Independence Meet,400m,Bronze,Local,2021
M000067,A0015,Regional Open,400m,Bronze,Regional,2024
M000068,A0016,Southern Africa Games,800m,Gold,Continental,2023
M000069,A0016,Botswana Nationals,400m,Silver,National,2023
M000070,A0016,Paralympic Trials,800m,Gold,National,2023
M000071,A0016,Southern Africa Games,400m,Gold,Continental,2024
M000072,A0017,Paralympic Trials,100m,Bronze,National,2021
M000073,A0017,Paralympic Trials,100m,Gold,National,2022
M000074,A0017,Botswana Nationals,1500m,Silver,National,2024
M000075,A0018,Paralympic Trials,400m,Gold,National,2021
M000076,A0018,Southern Africa Games,400m,Gold,Continental,2022
M000077,A0018,Continental Series,400m,Silver,Continental,2022
M000078,A0018,National Championships,800m,Bronze,National,2022
M000079,A0018,Continental Series,400m,Gold,Continental,2023
M000080,A0018,World Para Athletics GP,400m,Silver,World,2023
M000081,A0018,National Championships,800m,Silver,National,2023
M000082,A0018,Southern Africa Games,400m,Silver,Continental,2024
M000083,A0018,Southern Africa Games,400m,Gold,Continental,2024
M000084,A0019,Kalahari Sprint Classic,100m,Silver,Regional,2022
M000085,A0019,Masa Cup,1500m,Bronze,Local,2023
M000086,A0019,Botswana Nationals,100m,Bronze,National,2023
M000087,A0019,Kalahari Sprint Classic,1500m,Bronze,Regional,2023
M000088,A0020,Paralympic Trials,200m,Silver,National,2021
M000089,A0020,National Championships,200m,Bronze,National,2021
M000090,A0020,Regional Open,200m,Bronze,Regional,2022
M000091,A0020,Independence Meet,200m,Gold,Local,2023
M000092,A0020,National Championships,200m,Silver,National,2023
M000093,A0021,Regional Open,100m,Gold,Regional,2020
M000094,A0021,National Championships,1500m,Bronze,National,2022
M000095,A0021,Independence Meet,1500m,Silver,Local,2024
M000096,A0022,Kalahari Sprint Classic,800m,Silver,Regional,2021
M000097,A0022,Regional Open,800m,Silver,Regional,2023
M000098,A0023,Botswana Nationals,200m,Silver,National,2020
M000099,A0023,Independence Meet,1500m,Silver,Local,2022
M000100,A0023,Kalahari Sprint Classic,200m,Silver,Regional,2022
M000101,A0023,Kalahari Sprint Classic,200m,Silver,Regional,2022
M000102,A0024,Southern Africa Games,800m,Bronze,Continental,2020
M000103,A0024,Continental Series,100m,Gold,Continental,2021
M000104,A0024,Regional Open,800m,Silver,Regional,2021
M000105,A0024,Continental Series,800m,Gold,Continental,2022
M000106,A0024,Kalahari Sprint Classic,800m,Gold,Regional,2023
M000107,A0024,Continental Series,800m,Bronze,Continental,2024
M000108,A0024,National Championships,800m,Bronze,National,2024
M000109,A0025,Regional Open,1500m,Silver,Regional,2020
M000110,A0025,Botswana Nationals,400m,Gold,National,2020
M000111,A0025,National Championships,400m,Gold,National,2021
M000112,A0025,Kalahari Sprint Classic,400m,Gold,Regional,2023
M000113,A0025,Southern Africa Games,1500m,Silver,Continental,2024
M000114,A0025,National Championships,1500m,Gold,National,2024
M000115,A0026,Botswana Nationals,400m,Silver,National,2020
M000116,A0026,National Championships,100m,Silver,National,2021
M000117,A0026,Masa Cup,100m,Silver,Local,2021
M000118,A0026,Regional Open,100m,Gold,Regional,2023
M000119,A0027,Botswana Nationals,100m,Bronze,National,2020
M000120,A0027,National Championships,100m,Bronze,National,2020
M000121,A0027,National Championships,100m,Silver,National,2021
M000122,A0027,Paralympic Trials,100m,Gold,National,2022
M000123,A0027,Continental Series,100m,Bronze,Continental,2023
M000124,A0027,National Championships,100m,Gold,National,2023
M000125,A0027,Paralympic Trials,100m,Gold,National,2024
M000126,A0027,Continental Series,100m,Bronze,Continental,2024
M000127,A0027,Continental Series,100m,Silver,Continental,2024
M000128,A0028,National Championships,200m,Bronze,National,2020
M000129,A0028,Kalahari Sprint Classic,400m,Bronze,Regional,2020
M000130,A0028,Masa Cup,400m,Gold,Local,2022
M000131,A0028,Masa Cup,200m,Gold,Local,2022
M000132,A0028,Kalahari Sprint Classic,200m,Silver,Regional,2022
M000133,A0028,Regional Open,200m,Bronze,Regional,2023
M000134,A0029,Regional Open,200m,Bronze,Regional,2021
M000135,A0029,Independence Meet,400m,Silver,Local,2022
M000136,A0030,Southern Africa Games,400m,Gold,Continental,2022
M000137,A0030,Regional Open,400m,Silver,Regional,2022
M000138,A0030,Regional Open,1500m,Silver,Regional,2023
M000139,A0030,Continental Series,400m,Bronze,Continental,2024
M000140,A0030,Botswana Nationals,400m,Gold,National,2024
M000141,A0031,Independence Meet,100m,Silver,Local,2023
M000142,A0032,Masa Cup,200m,Bronze,Local,2020
M000143,A0032,National Championships,800m,Bronze,National,2020
M000144,A0032,Regional Open,800m,Bronze,Regional,2022
M000145,A0032,Regional Open,800m,Silver,Regional,2022
M000146,A0032,Kalahari Sprint Classic,800m,Silver,Regional,2023
M000147,A0033,Masa Cup,100m,Silver,Local,2021
M000148,A0033,Masa Cup,100m,Gold,Local,2023
M000149,A0033,Kalahari Sprint Classic,100m,Bronze,Regional,2023
M000150,A0033,Regional Open,100m,Bronze,Regional,2024
M000151,A0034,Kalahari Sprint Classic,100m,Bronze,Regional,2022
M000152,A0035,Kalahari Sprint Classic,800m,Silver,Regional,2021
M000153,A0035,Kalahari Sprint Classic,800m,Silver,Regional,2021
M000154,A0035,Regional Open,400m,Bronze,Regional,2022
M000155,A0036,Regional Open,400m,Bronze,Regional,2020
M000156,A0036,Paralympic Trials,400m,Bronze,National,2020
M000157,A0036,Paralympic Trials,400m,Silver,National,2021
M000158,A0037,Regional Open,200m,Silver,Regional,2020
M000159,A0037,Continental Series,100m,Gold,Continental,2021
M000160,A0037,Southern Africa Games,200m,Gold,Continental,2022
M000161,A0037,Kalahari Sprint Classic,200m,Bronze,Regional,2022
M000162,A0037,Regional Open,200m,Gold,Regional,2023
M000163,A0039,Regional Open,800m,Silver,Regional,2020
M000164,A0039,Independence Meet,200m,Gold,Local,2022
M000165,A0039,Regional Open,800m,Silver,Regional,2023
M000166,A0040,Botswana Nationals,100m,Gold,National,2020
M000167,A0040,Southern Africa Games,100m,Silver,Continental,2020
M000168,A0040,Kalahari Sprint Classic,100m,Silver,Regional,2020
M000169,A0040,Regional Open,100m,Gold,Regional,2021
M000170,A0040,Botswana Nationals,100m,Silver,National,2023
M000171,A0041,Paralympic Trials,200m,Gold,National,2021
M000172,A0041,Paralympic Trials,400m,Silver,National,2022
M000173,A0041,Paralympic Trials,400m,Silver,National,2023
M000174,A0042,National Championships,800m,Silver,National,2020
M000175,A0042,Botswana Nationals,800m,Gold,National,2020
M000176,A0042,Botswana Nationals,1500m,Gold,National,2021
M000177,A0042,Southern Africa Games,800m,Silver,Continental,2022
M000178,A0042,Southern Africa Games,800m,Bronze,Continental,2022
M000179,A0043,Continental Series,100m,Gold,Continental,2020
M000180,A0043,Botswana Nationals,800m,Bronze,National,2020
M000181,A0043,Botswana Nationals,100m,Gold,National,2020
M000182,A0043,Continental Series,100m,Bronze,Continental,2021
M000183,A0043,National Championships,100m,Gold,National,2022
M000184,A0043,Southern Africa Games,100m,Silver,Continental,2023
M000185,A0043,National Championships,100m,Silver,National,2023
M000186,A0043,World Para Athletics GP,100m,Bronze,World,2023
M000187,A0043,Southern Africa Games,800m,Gold,Continental,2024
M000188,A0044,Paralympic Trials,100m,Silver,National,2020
M000189,A0044,Regional Open,100m,Bronze,Regional,2023
M000190,A0044,Southern Africa Games,100m,Bronze,Continental,2023
M000191,A0044,Kalahari Sprint Classic,100m,Bronze,Regional,2023
M000192,A0044,National Championships,100m,Bronze,National,2024
M000193,A0045,Regional Open,200m,Gold,Regional,2021
M000194,A0045,Continental Series,200m,Silver,Continental,2021
M000195,A0045,Continental Series,400m,Gold,Continental,2022
M000196,A0045,Botswana Nationals,400m,Silver,National,2022
M000197,A0045,Southern Africa Games,200m,Gold,Continental,2022
M000198,A0045,National Championships,200m,Gold,National,2023
M000199,A0045,Botswana Nationals,400m,Silver,National,2023
M000200,A0045,Regional Open,400m,Gold,Regional,2024
M000201,A0045,Kalahari Sprint Classic,200m,Bronze,Regional,2024
M000202,A0046,Botswana Nationals,100m,Gold,National,2022
M000203,A0046,Independence Meet,100m,Bronze,Local,2024
M000204,A0047,Masa Cup,200m,Silver,Local,2020
M000205,A0047,Regional Open,400m,Gold,Regional,2023
M000206,A0047,Masa Cup,400m,Silver,Local,2024
M000207,A0047,Paralympic Trials,200m,Silver,National,2024
M000208,A0048,Kalahari Sprint Classic,100m,Bronze,Regional,2021
M000209,A0048,Independence Meet,1500m,Silver,Local,2024
M000210,A0049,Kalahari Sprint Classic,100m,Silver,Regional,2022
M000211,A0049,Masa Cup,800m,Bronze,Local,2022
M000212,A0049,Independence Meet,100m,Bronze,Local,2023
M000213,A0050,Kalahari Sprint Classic,100m,Silver,Regional,2024
M000214,A0050,Independence Meet,100m,Bronze,Local,2024
M000215,A0051,Independence Meet,1500m,Silver,Local,2020
M000216,A0051,Independence Meet,200m,Bronze,Local,2020
M000217,A0051,Regional Open,200m,Silver,Regional,2021
M000218,A0052,Botswana Nationals,200m,Gold,National,2021
M000219,A0052,Continental Series,800m,Silver,Continental,2022
M000220,A0052,National Championships,200m,Gold,National,2023
M000221,A0052,Kalahari Sprint Classic,200m,Bronze,Regional,2023
M000222,A0053,Regional Open,1500m,Bronze,Regional,2020
M000223,A0053,Paralympic Trials,200m,Bronze,National,2021
M000224,A0053,Southern Africa Games,200m,Bronze,Continental,2021
M000225,A0053,Continental Series,1500m,Gold,Continental,2021
M000226,A0053,Botswana Nationals,200m,Bronze,National,2022
M000227,A0054,Regional Open,100m,Gold,Regional,2024
M000228,A0054,Paralympic Trials,100m,Silver,National,2024
M000229,A0054,National Championships,100m,Silver,National,2024
M000230,A0055,National Championships,1500m,Gold,National,2021
M000231,A0055,Masa Cup,1500m,Gold,Local,2021
M000232,A0056,Masa Cup,200m,Silver,Local,2020
M000233,A0056,National Championships,200m,Bronze,National,2020
M000234,A0056,Botswana Nationals,1500m,Silver,National,2022
M000235,A0056,Regional Open,1500m,Gold,Regional,2023
M000236,A0056,Paralympic Trials,200m,Silver,National,2023
M000237,A0057,Kalahari Sprint Classic,400m,Bronze,Regional,2021
M000238,A0057,National Championships,100m,Gold,National,2022
M000239,A0057,Paralympic Trials,100m,Gold,National,2022
M000240,A0057,National Championships,100m,Silver,National,2024
M000241,A0058,Regional Open,800m,Bronze,Regional,2020
M000242,A0059,Regional Open,200m,Bronze,Regional,2023
M000243,A0059,Masa Cup,200m,Silver,Local,2024
M000244,A0060,Paralympic Trials,200m,Gold,National,2020
M000245,A0060,Continental Series,100m,Gold,Continental,2020
M000246,A0060,Southern Africa Games,100m,Gold,Continental,2021
M000247,A0060,Continental Series,100m,Gold,Continental,2022
M000248,A0060,Continental Series,100m,Gold,Continental,2022
M000249,A0061,Botswana Nationals,100m,Gold,National,2020
M000250,A0061,Continental Series,100m,Gold,Continental,2021
M000251,A0061,Paralympic Trials,800m,Bronze,National,2021
M000252,A0061,National Championships,800m,Silver,National,2023
M000253,A0062,Regional Open,800m,Silver,Regional,2021
M000254,A0063,Regional Open,100m,Silver,Regional,2022
M000255,A0063,Kalahari Sprint Classic,100m,Gold,Regional,2024
M000256,A0064,Botswana Nationals,1500m,Silver,National,2021
M000257,A0064,National Championships,1500m,Gold,National,2021
M000258,A0064,Masa Cup,200m,Silver,Local,2022
M000259,A0065,Kalahari Sprint Classic,200m,Bronze,Regional,2020
M000260,A0065,Independence Meet,200m,Silver,Local,2020
M000261,A0065,Kalahari Sprint Classic,200m,Bronze,Regional,2020
M000262,A0065,National Championships,200m,Gold,National,2024
M000263,A0066,Paralympic Trials,200m,Silver,National,2020
M000264,A0066,Kalahari Sprint Classic,200m,Silver,Regional,2022
M000265,A0066,Paralympic Trials,200m,Gold,National,2024
M000266,A0067,Regional Open,400m,Bronze,Regional,2020
M000267,A0067,Independence Meet,400m,Bronze,Local,2021
M000268,A0067,Masa Cup,1500m,Silver,Local,2021
M000269,A0068,Independence Meet,200m,Bronze,Local,2020
M000270,A0068,Paralympic Trials,200m,Silver,National,2020
M000271,A0068,Kalahari Sprint Classic,400m,Bronze,Regional,2022
M000272,A0068,Masa Cup,200m,Bronze,Local,2022
M000273,A0068,Kalahari Sprint Classic,200m,Gold,Regional,2023
M000274,A0068,Botswana Nationals,200m,Bronze,National,2024
M000275,A0069,Independence Meet,100m,Bronze,Local,2020
M000276,A0069,Kalahari Sprint Classic,200m,Bronze,Regional,2022
M000277,A0069,Regional Open,100m,Silver,Regional,2023
M000278,A0070,Regional Open,200m,Bronze,Regional,2022
M000279,A0070,Masa Cup,200m,Silver,Local,2022
M000280,A0071,Paralympic Trials,800m,Silver,National,2021
M000281,A0071,Regional Open,800m,Silver,Regional,2022
M000282,A0072,Independence Meet,1500m,Bronze,Local,2020
M000283,A0072,Regional Open,100m,Bronze,Regional,2020
M000284,A0072,Regional Open,1500m,Silver,Regional,2024
M000285,A0073,Regional Open,1500m,Gold,Regional,2021
M000286,A0073,National Championships,800m,Silver,National,2022
M000287,A0073,Southern Africa Games,800m,Silver,Continental,2023
M000288,A0073,Botswana Nationals,1500m,Gold,National,2023
M000289,A0073,Southern Africa Games,800m,Gold,Continental,2023
M000290,A0073,Kalahari Sprint Classic,1500m,Gold,Regional,2024
M000291,A0074,Continental Series,200m,Bronze,Continental,2020
M000292,A0074,Botswana Nationals,200m,Gold,National,2020
M000293,A0074,National Championships,200m,Bronze,National,2021
M000294,A0074,Regional Open,200m,Bronze,Regional,2021
M000295,A0074,Botswana Nationals,200m,Gold,National,2023
M000296,A0074,Kalahari Sprint Classic,800m,Silver,Regional,2024
M000297,A0075,Continental Series,400m,Bronze,Continental,2020
M000298,A0075,Paralympic Trials,400m,Bronze,National,2020
M000299,A0075,National Championships,400m,Gold,National,2021
M000300,A0075,Southern Africa Games,200m,Silver,Continental,2022
M000301,A0075,World Para Athletics GP,400m,Gold,World,2022
M000302,A0075,Southern Africa Games,200m,Bronze,Continental,2023
M000303,A0075,National Championships,400m,Gold,National,2024
M000304,A0076,National Championships,100m,Gold,National,2020
M000305,A0076,Masa Cup,100m,Silver,Local,2021
M000306,A0076,Masa Cup,1500m,Bronze,Local,2021
M000307,A0076,Regional Open,100m,Gold,Regional,2021
M000308,A0076,Independence Meet,100m,Bronze,Local,2022
M000309,A0076,Masa Cup,100m,Silver,Local,2023
M000310,A0077,National Championships,100m,Bronze,National,2020
M000311,A0077,Paralympic Trials,100m,Gold,National,2021
M000312,A0077,Botswana Nationals,800m,Bronze,National,2022
M000313,A0077,Continental Series,100m,Gold,Continental,2022
M000314,A0077,National Championships,100m,Gold,National,2023
M000315,A0078,Masa Cup,200m,Silver,Local,2020
M000316,A0078,National Championships,200m,Silver,National,2021
M000317,A0078,Botswana Nationals,200m,Gold,National,2023
M000318,A0078,Paralympic Trials,200m,Silver,National,2023
M000319,A0078,Paralympic Trials,200m,Bronze,National,2024
M000320,A0079,Regional Open,100m,Bronze,Regional,2021
M000321,A0079,Independence Meet,100m,Silver,Local,2022
M000322,A0080,Independence Meet,100m,Bronze,Local,2022
M000323,A0081,Southern Africa Games,100m,Silver,Continental,2021
M000324,A0081,Southern Africa Games,100m,Gold,Continental,2022
M000325,A0081,Continental Series,100m,Gold,Continental,2022
M000326,A0081,Regional Open,100m,Bronze,Regional,2022
M000327,A0081,Continental Series,100m,Bronze,Continental,2023
M000328,A0081,Continental Series,100m,Silver,Continental,2023
M000329,A0081,Regional Open,400m,Gold,Regional,2024
M000330,A0082,Paralympic Trials,400m,Bronze,National,2022
M000331,A0083,Paralympic Trials,800m,Bronze,National,2021
M000332,A0083,National Championships,800m,Silver,National,2024
M000333,A0084,Masa Cup,1500m,Bronze,Local,2020
M000334,A0084,Regional Open,1500m,Silver,Regional,2021
M000335,A0084,Regional Open,1500m,Bronze,Regional,2021
M000336,A0084,Independence Meet,1500m,Gold,Local,2022
M000337,A0084,Kalahari Sprint Classic,1500m,Gold,Regional,2023
M000338,A0084,Independence Meet,1500m,Bronze,Local,2023
M000339,A0085,Paralympic Trials,200m,Gold,National,2021
M000340,A0085,Kalahari Sprint Classic,200m,Gold,Regional,2022
M000341,A0085,National Championships,800m,Gold,National,2023
M000342,A0085,Kalahari Sprint Classic,200m,Bronze,Regional,2024
M000343,A0086,Independence Meet,1500m,Bronze,Local,2021
M000344,A0086,Kalahari Sprint Classic,200m,Bronze,Regional,2021
M000345,A0086,Regional Open,200m,Silver,Regional,2024
M000346,A0087,Masa Cup,1500m,Silver,Local,2021
M000347,A0087,Regional Open,1500m,Bronze,Regional,2021
M000348,A0087,Regional Open,1500m,Gold,Regional,2022
M000349,A0088,Kalahari Sprint Classic,100m,Bronze,Regional,2021
M000350,A0088,Kalahari Sprint Classic,100m,Silver,Regional,2024
M000351,A0089,Masa Cup,400m,Bronze,Local,2020
M000352,A0089,Regional Open,400m,Silver,Regional,2022
M000353,A0089,Kalahari Sprint Classic,100m,Gold,Regional,2023
M000354,A0089,Masa Cup,400m,Bronze,Local,2023
M000355,A0089,Independence Meet,400m,Bronze,Local,2024
M000356,A0090,Kalahari Sprint Classic,200m,Silver,Regional,2022
M000357,A0092,Continental Series,100m,Bronze,Continental,2021
M000358,A0092,Kalahari Sprint Classic,100m,Gold,Regional,2023
M000359,A0092,National Championships,800m,Bronze,National,2023
M000360,A0092,Kalahari Sprint Classic,100m,Bronze,Regional,2023
M000361,A0092,Continental Series,100m,Gold,Continental,2024
M000362,A0093,Independence Meet,1500m,Bronze,Local,2020
M000363,A0093,Kalahari Sprint Classic,1500m,Silver,Regional,2022
M000364,A0094,Kalahari Sprint Classic,800m,Silver,Regional,2020
M000365,A0094,National Championships,800m,Bronze,National,2021
M000366,A0094,Southern Africa Games,800m,Gold,Continental,2022
M000367,A0094,Southern Africa Games,800m,Bronze,Continental,2024
M000368,A0094,Kalahari Sprint Classic,800m,Gold,Regional,2024
M000369,A0095,Kalahari Sprint Classic,100m,Gold,Regional,2020
M000370,A0095,Regional Open,400m,Bronze,Regional,2023
M000371,A0095,Botswana Nationals,100m,Gold,National,2024
M000372,A0095,Independence Meet,100m,Silver,Local,2024
M000373,A0096,Independence Meet,200m,Bronze,Local,2021
M000374,A0096,Kalahari Sprint Classic,200m,Bronze,Regional,2021
M000375,A0097,Regional Open,200m,Bronze,Regional,2022
M000376,A0097,Independence Meet,200m,Bronze,Local,2023
M000377,A0097,National Championships,200m,Bronze,National,2024
M000378,A0098,Southern Africa Games,400m,Gold,Continental,2020
M000379,A0098,Botswana Nationals,400m,Silver,National,2021
M000380,A0098,Regional Open,1500m,Silver,Regional,2021
M000381,A0098,Kalahari Sprint Classic,1500m,Gold,Regional,2022
M000382,A0098,National Championships,1500m,Gold,National,2022
M000383,A0098,Regional Open,1500m,Silver,Regional,2023
M000384,A0098,Kalahari Sprint Classic,400m,Gold,Regional,2023
M000385,A0098,Regional Open,1500m,Gold,Regional,2023
M000386,A0099,Regional Open,100m,Bronze,Regional,2020
M000387,A0100,Paralympic Trials,200m,Bronze,National,2020
M000388,A0100,Kalahari Sprint Classic,200m,Bronze,Regional,2022
M000389,A0100,Kalahari Sprint Classic,200m,Bronze,Regional,2023
M000390,A0100,Regional Open,200m,Bronze,Regional,2024
M000391,A0101,Independence Meet,400m,Silver,Local,2023
M000392,A0102,Regional Open,800m,Bronze,Regional,2024
M000393,A0103,Masa Cup,200m,Bronze,Local,2022
M000394,A0104,Kalahari Sprint Classic,100m,Bronze,Regional,2020
M000395,A0104,National Championships,1500m,Gold,National,2021
M000396,A0104,National Championships,100m,Gold,National,2023
M000397,A0105,National Championships,400m,Bronze,National,2020
M000398,A0105,Botswana Nationals,400m,Silver,National,2021
M000399,A0105,Paralympic Trials,400m,Bronze,National,2023
M000400,A0106,Independence Meet,1500m,Bronze,Local,2021
M000401,A0106,Independence Meet,200m,Silver,Local,2024
M000402,A0107,Kalahari Sprint Classic,200m,Silver,Regional,2020
M000403,A0107,Regional Open,200m,Gold,Regional,2021
M000404,A0107,National Championships,200m,Silver,National,2023
M000405,A0108,Kalahari Sprint Classic,100m,Silver,Regional,2020
M000406,A0108,National Championships,800m,Silver,National,2020
M000407,A0108,Southern Africa Games,100m,Silver,Continental,2021
M000408,A0108,Regional Open,800m,Silver,Regional,2023
M000409,A0108,Continental Series,100m,Silver,Continental,2024
M000410,A0109,Southern Africa Games,400m,Bronze,Continental,2020
M000411,A0109,Paralympic Trials,1500m,Silver,National,2020
M000412,A0109,World Para Athletics GP,400m,Bronze,World,2020
M000413,A0109,Continental Series,400m,Gold,Continental,2021
M000414,A0109,Paralympic Trials,400m,Gold,National,2021
M000415,A0109,Southern Africa Games,400m,Bronze,Continental,2021
M000416,A0109,Botswana Nationals,400m,Bronze,National,2022
M000417,A0109,Paralympic Trials,400m,Bronze,National,2022
M000418,A0109,Southern Africa Games,1500m,Gold,Continental,2024
M000419,A0109,Botswana Nationals,400m,Silver,National,2024
M000420,A0109,Southern Africa Games,1500m,Silver,Continental,2024
M000421,A0110,Masa Cup,400m,Silver,Local,2020
M000422,A0111,Botswana Nationals,800m,Silver,National,2020
M000423,A0111,Paralympic Trials,800m,Gold,National,2020
M000424,A0111,Paralympic Trials,800m,Silver,National,2020
M000425,A0111,Regional Open,800m,Silver,Regional,2023
M000426,A0111,Kalahari Sprint Classic,100m,Bronze,Regional,2023
M000427,A0111,National Championships,800m,Gold,National,2024
M000428,A0111,Continental Series,800m,Gold,Continental,2024
M000429,A0111,Continental Series,800m,Gold,Continental,2024
M000430,A0112,Botswana Nationals,200m,Silver,National,2020
M000431,A0112,Botswana Nationals,200m,Silver,National,2021
M000432,A0112,Masa Cup,200m,Gold,Local,2023
M000433,A0112,Paralympic Trials,200m,Silver,National,2024
M000434,A0113,Masa Cup,100m,Gold,Local,2022
M000435,A0113,Independence Meet,100m,Bronze,Local,2022
M000436,A0113,Independence Meet,100m,Silver,Local,2023
M000437,A0114,Botswana Nationals,400m,Bronze,National,2020
M000438,A0114,Kalahari Sprint Classic,400m,Gold,Regional,2021
M000439,A0114,Regional Open,400m,Bronze,Regional,2021
M000440,A0114,Continental Series,400m,Gold,Continental,2023
M000441,A0114,Regional Open,400m,Silver,Regional,2023
M000442,A0114,Paralympic Trials,400m,Silver,National,2023
M000443,A0114,Regional Open,400m,Gold,Regional,2024
M000444,A0115,National Championships,100m,Bronze,National,2020
M000445,A0115,Paralympic Trials,100m,Gold,National,2021
M000446,A0115,Continental Series,400m,Silver,Continental,2021
M000447,A0115,Continental Series,100m,Bronze,Continental,2021
M000448,A0115,Botswana Nationals,100m,Bronze,National,2022
M000449,A0116,Botswana Nationals,1500m,Bronze,National,2020
M000450,A0116,National Championships,1500m,Silver,National,2022
M000451,A0116,National Championships,100m,Silver,National,2022
M000452,A0117,World Para Athletics GP,800m,Silver,World,2020
M000453,A0117,World Para Athletics GP,200m,Silver,World,2020
M000454,A0117,World Para Athletics GP,200m,Gold,World,2022
M000455,A0117,Continental Series,200m,Bronze,Continental,2023
M000456,A0117,National Championships,800m,Silver,National,2023
M000457,A0117,World Para Athletics GP,800m,Gold,World,2023
M000458,A0118,Regional Open,200m,Silver,Regional,2020
M000459,A0119,Continental Series,200m,Silver,Continental,2020
M000460,A0119,Continental Series,400m,Bronze,Continental,2021
M000461,A0119,Southern Africa Games,400m,Bronze,Continental,2021
M000462,A0119,National Championships,400m,Bronze,National,2022
M000463,A0120,Regional Open,1500m,Bronze,Regional,2021
M000464,A0120,Masa Cup,1500m,Silver,Local,2022
M000465,A0121,Kalahari Sprint Classic,100m,Silver,Regional,2023
M000466,A0123,Southern Africa Games,200m,Silver,Continental,2020
M000467,A0123,Regional Open,200m,Gold,Regional,2021
M000468,A0123,Kalahari Sprint Classic,200m,Silver,Regional,2021
M000469,A0123,Paralympic Trials,200m,Bronze,National,2022
M000470,A0124,Botswana Nationals,400m,Gold,National,2021
M000471,A0124,National Championships,400m,Gold,National,2022
